Index,Research areas,Bio,Research interests,Achievements and awards,Full name
daniel-williamson,Applications (Machine learning); Deep learning; Uncertainty quantification; High dimensional inference; Monte Carlo methods; Simulation; Time series; Modelling (Statistical methods & theory); Probability; ,"Daniel Williamson is Senior lecturer in statistics at the University of Exeter. He gained is PhD at Durham University in 2010 on the topic of developing Bayesian policy support for decision problems involving data from expensive computer models. Following a postdoctoral research position at Durham University; he was appointed as a lecturer at the University of Exeter in 2013. ; Dr Williamson's research involves developing methodology for integrating physical data with the output from expensive computer simulators in order to calibrate those simulators and thus learn about the real world; with specific application to climate modelling. This area of research is known as Uncertainty Quantification (UQ) and; in application to climate models; ""climate model tuning"". His other Turing related research looks to develop theory to link algorithms for Bayesian inference with big data in applications; to justifiable decision making with implications for machine decisions and artificial intelligence. ; Daniel has won an International Society for Bayesian Analysis Savage award (Hon. Men) for his PhD thesis and won the Lindley prize for outstanding research article in 2016. He won an EPSRC fellowship in 2013 for developing Bayesian methods in Uncertainty Quantification for hierarchies of models with spatio-temporal output. ; ","Dr Williamson's research involves developing methodology for integrating physical data with the output from expensive computer simulators in order to calibrate those simulators and thus learn about the real world; with specific application to climate modelling. This area of research is known as Uncertainty Quantification (UQ) and; in application to climate models; ""climate model tuning"". His other Turing related research looks to develop theory to link algorithms for Bayesian inference with big data in applications; to justifiable decision making with implications for machine decisions and artificial intelligence. ; ",Daniel has won an International Society for Bayesian Analysis Savage award (Hon. Men) for his PhD thesis and won the Lindley prize for outstanding research article in 2016. He won an EPSRC fellowship in 2013 for developing Bayesian methods in Uncertainty Quantification for hierarchies of models with spatio-temporal output. ; ,Dr Daniel Williamson 
daniel-wilson,Data science of government & politics; ,Daniel C.S. Wilson is a historian of modern Britain; with a focus on science and technology. He has degrees in History and Philosophy; and has held research fellowships in Cambridge and Paris. Prior to joining The Alan Turing Institute; Daniel taught in the Department of History and Philosophy of Science at Cambridge; where he also worked on the 'Technology & Democracy' project at CRASSH: an inquiry into the politics of the digital.; Daniel is interested in both the past and present modalities of what it means to be 'living with machines'. His current research focuses among other things on the politics of work; infrastructure; energy and 'Pandaemonium'.; ,Daniel is interested in both the past and present modalities of what it means to be 'living with machines'. His current research focuses among other things on the politics of work; infrastructure; energy and 'Pandaemonium'.; ,['N/A'],Dr Daniel Wilson 
danielle-paul,Robotics; Neural networks; Pattern formation; Applications (Machine learning); Computer vision; Deep learning; Pattern recognition; Semi-supervised learning; Supervised learning; Unsupervised learning; ,Dr Danielle Paul started her research career as a BHF funded PhD student using electron microscopy to study the structure of the filamentous proteins in cardiac muscle. She completed her PhD at Imperial College London in 2006 and then went on to the structural Biology department at the Institute of Cancer Research for her first post-doctoral position.; When her first son was born she and her family moved to Bristol and when her daughter was born in 2012 she took a career break for 2.5 years. Dr Paul returned to academia taking up a BHF Career Re-Entry fellowship in the school of Physiology; Pharmacology and Neuroscience at Bristol University in 2015. The focus of her lab’s work is to determine high resolution 3D models of the cardiac thin filament using state of the art image processing techniques and the recent advances made in the field of cryo-electron microscopy.; The recent “Cryo-EM revolution” has also produced a massive increase in the amount of data; in the form of EM images; with one session on the microscope producing up to 8TB. Powerful; well developed software exists for the analysis of data sets of this size when the object of study conforms to certain set of constraints i.e. they are either a globular protein or a helical filament. However; there are many harder to reach systems; such as the hybrid cases of globular proteins interacting with filaments. The number of biological and synthetic systems that involve such an arrangement is vast. ; To this end; Dr Paul and her team will develop software to facilitate single particle analysis of Cryo-EM images of elongated / filamentous macromolecular complexes decorated with accessory globular proteins. The main objective is to create a self-contained image processing tool ‘PROOF: Software for the identification of accessory PROteins On Filaments’; that takes high resolution Cryo-EM movie data; automatically identifies filamentous proteins; straightens them if necessary and crucially locates the position of the accessory binding proteins. Segmentation/boxing of the filament can occur and ‘particles’ can then be extracted. These selected particles can then be fed into existing single particle image processing packages.; ,The recent “Cryo-EM revolution” has also produced a massive increase in the amount of data; in the form of EM images; with one session on the microscope producing up to 8TB. Powerful; well developed software exists for the analysis of data sets of this size when the object of study conforms to certain set of constraints i.e. they are either a globular protein or a helical filament. However; there are many harder to reach systems; such as the hybrid cases of globular proteins interacting with filaments. The number of biological and synthetic systems that involve such an arrangement is vast. ; To this end; Dr Paul and her team will develop software to facilitate single particle analysis of Cryo-EM images of elongated / filamentous macromolecular complexes decorated with accessory globular proteins. The main objective is to create a self-contained image processing tool ‘PROOF: Software for the identification of accessory PROteins On Filaments’; that takes high resolution Cryo-EM movie data; automatically identifies filamentous proteins; straightens them if necessary and crucially locates the position of the accessory binding proteins. Segmentation/boxing of the filament can occur and ‘particles’ can then be extracted. These selected particles can then be fed into existing single particle image processing packages.; ,['N/A'],Dr Danielle Paul 
darren-price,Artificial intelligence; Real time computing; Deep learning; Unsupervised learning; Research methods; Statistical methods & theory; High dimensional inference; Monte Carlo methods; Simulation; ,Dr Darren Price is a Senior Research Fellow in Experimental Particle Physics at the University of Manchester. Dr Price read Mathematics at Cambridge; followed by an MSc and PhD in Experimental Particle Physics at the Universities of Manchester and Lancaster. Following his PhD he moved to Indiana University in the USA as a postdoctoral researcher with secondment to the Fermi National Accelerator Laboratory in Chicago and to the Large Hadron Collider at CERN in Geneva.; Following research in the USA and Switzerland; Dr Price joined the University of Manchester first as an EU-funded Marie Curie Research Fellow and currently as an STFC Ernest Rutherford Research Fellow. He also serves as Director of the STFC 4IR Centre for Doctoral Training in Data Intensive Science whose remit spans Particle Physics; Astrophysics; Computer Science and Nuclear Physics at the Universities of Manchester; Sheffield and Lancaster.; His research interests include study of anomalies in rare electroweak interactions in high-energy particle collisions; new approaches to the search for dark matter; and tackling the challenges of data filtering; classification; simulation and modelling associated with exploration of the high rate and large volume datasets produced at the Large Hadron Collider at CERN and other particle research facilities.; Darren Price's Turing research explores how we can best make use of the large datasets recorded by large scientific experiments like the Large Hadron Collider in the search for the unknown (such as exploring the mystery of dark matter) through the development of new semi-supervised and unsupervised machine learning tools to maximise the value of research outputs; enhance reinterpretation; reusability and reproducibility of data; and enable the automation of aspects of scientific discovery across multiple domains.; ,Darren Price's Turing research explores how we can best make use of the large datasets recorded by large scientific experiments like the Large Hadron Collider in the search for the unknown (such as exploring the mystery of dark matter) through the development of new semi-supervised and unsupervised machine learning tools to maximise the value of research outputs; enhance reinterpretation; reusability and reproducibility of data; and enable the automation of aspects of scientific discovery across multiple domains.; ,['N/A'],Dr Darren Price 
darren-wilkinson,Data structures; Dynamical systems & differential equations; Nonlinear dynamics; Parallel computing; Probabilistic programming; Uncertainty quantification; Monte Carlo methods; Simulation; Time series; ,Darren Wilkinson is Professor of Stochastic Modelling within the School of Mathematics; Statistics and Physics at Newcastle University. He studied at Durham University; where he did a degree in Mathematics followed by a PhD in Bayesian Statistics. After a year as a research associate at Durham; he took up a Lectureship at Newcastle; being promoted to Professor in 2007. He began working on problems in statistical bioinformatics and computational systems biology shortly after moving to Newcastle. From 2008-2011 he held a BBSRC Research Development Fellowship to study stochasticity and heterogeneity in model biological systems.; He continues to be motivated by challenging inferential problems arising from life science research; and is active in the biological sciences research community; currently serving on BBSRC's Strategy Advisory Panel for Enabling New Ways of Working. In addition to being an investigator on several large RCUK grants; he currently co-directs Newcastle's EPSRC Centre for Doctoral Training in Cloud Computing for Big Data; building on his existing interests in modelling large and complex data sets in molecular biology and genomics.; His current research interests involve applications of Bayesian statistics to a variety of challenging big data problems in molecular biology and engineering. He is especially interested in parameter inference for dynamic models; on-line inference for high-velocity time series data; probabilistic programming; and the use of approximate models and emulators for rendering computationally prohibitive algorithms for expensive models more tractable.; ,His current research interests involve applications of Bayesian statistics to a variety of challenging big data problems in molecular biology and engineering. He is especially interested in parameter inference for dynamic models; on-line inference for high-velocity time series data; probabilistic programming; and the use of approximate models and emulators for rendering computationally prohibitive algorithms for expensive models more tractable.; ,['N/A'],Professor Darren Wilkinson 
dave-smith,Data structures; Dynamical systems & differential equations; Numerical analysis; Neural networks; Nonlinear dynamics; Parallel computing; Computer vision; Deep learning; Pattern recognition; Uncertainty quantification; High dimensional inference; Simulation; Time series; ,Professor Dave Smith is an applied mathematician who works across the interfaces of biomedical research and modelling. Following a PhD with Professors John Blake and Eamonn Gaffney; he undertook postdoctoral research on male fertility diagnostics in collaboration with Birmingham Women's Hospital Centre for Human Reproductive Science. He has also held an honorary positions at the University of Warwick and in the Institute for Metabolism and Systems Research; Birmingham. His main interests are very low Reynolds number biological fluid dynamics; and he has co-authored Annual Review of Fluid Mechanics articles on Mammalian Sperm Motility; and Left-Right Symmetry Breaking Flows in Embryogenesis.; In addition he has worked with teams researching topics as diverse as steroid metabolome cancer diagnosis; the molecular and physical pathogenesis of lung disease; and synthetic biology techniques for flow and pathogen detection. He and his multidisciplinary research group develop and apply tools based on regularised singularity solutions; the finite element method; and model-based image analysis.; The project 'Mechanistic learning for biomedical data science' will develop the concept of mechanistic learning; i.e. making sense of data from individual cells to people through models of the underlying biological processes. The concept; which is being developed as part of a multi-centre collaboration involving mathematicians; computer scientists; biologists and clinicians. State of the art technologies such as imaging; mass spectrometry; Raman spectroscopy; RNA sequencing and flow cytometry provide the capability to collect large volumes of data about individual cells; tissues or patients.; These technologies are being intensively pursued in the hope of developing new diagnostics; stratified medicine and novel targets for hard-to-treat and heterogeneous diseases; including male infertility; cancer; trauma and metabolic disease. A key challenge in exploiting this revolution in data availability is its high dimensionality (many variables measured simultaneously) relative to the typical number of patients and sample points in clinical research data sets. Data-driven machine learning techniques; especially deep learning; provide perhaps the most performant approaches to tasks such as patient classification based on high-dimensional data sets with relatively few individuals.; However; a limitation of these data-driven methods is their 'black box' approach prediction performance is optimised at the expense of explanatory power. The key challenge areas in which these ideas will be applied include: 1 - Male fertility diagnosis. 2 - Adrenal endocrine disorders and their management. 3 - Other areas in which integration of diverse data may help in the detection and management of disease; including lung and immunological pathologies.; ,The project 'Mechanistic learning for biomedical data science' will develop the concept of mechanistic learning; i.e. making sense of data from individual cells to people through models of the underlying biological processes. The concept; which is being developed as part of a multi-centre collaboration involving mathematicians; computer scientists; biologists and clinicians. State of the art technologies such as imaging; mass spectrometry; Raman spectroscopy; RNA sequencing and flow cytometry provide the capability to collect large volumes of data about individual cells; tissues or patients.; These technologies are being intensively pursued in the hope of developing new diagnostics; stratified medicine and novel targets for hard-to-treat and heterogeneous diseases; including male infertility; cancer; trauma and metabolic disease. A key challenge in exploiting this revolution in data availability is its high dimensionality (many variables measured simultaneously) relative to the typical number of patients and sample points in clinical research data sets. Data-driven machine learning techniques; especially deep learning; provide perhaps the most performant approaches to tasks such as patient classification based on high-dimensional data sets with relatively few individuals.; However; a limitation of these data-driven methods is their 'black box' approach prediction performance is optimised at the expense of explanatory power. The key challenge areas in which these ideas will be applied include: 1 - Male fertility diagnosis. 2 - Adrenal endocrine disorders and their management. 3 - Other areas in which integration of diverse data may help in the detection and management of disease; including lung and immunological pathologies.; ,['N/A'],Professor Dave Smith 
david-aspinall,['N/A'],David Aspinall holds a personal chair in Software Safety and Security at University of Edinburgh. He leads the Security and Privacy research group in the School of Informatics and a cross-discipline Cyber Security & Privacy Research Network in the University.  His research interests cover foundational and applied areas of computer security; as well as interactive theorem proving and proof engineering.  ; Professor Aspinall wants to pursue several ideas in The Alan Turing Institute.  First; he plans to work on applying interactive theorem proving to cryptography; by formalising game and simulation based cryptographic soundness proofs on machine.  Second; he wants to build on earlier work that combines machine learning and formal methods; which he used to construct robust malware classifiers for Android applications: he wants to extend this work to other sources of data; including data collected by the security industry; such as network traffic and log data; to develop better methods of anomaly detection and inference from event streams.  Finally; he is interested in privacy and security issues behind personal data; including data that is collected in eHealth and mHealth solutions; or IoT devices.  ; ,Professor Aspinall wants to pursue several ideas in The Alan Turing Institute.  First; he plans to work on applying interactive theorem proving to cryptography; by formalising game and simulation based cryptographic soundness proofs on machine.  Second; he wants to build on earlier work that combines machine learning and formal methods; which he used to construct robust malware classifiers for Android applications: he wants to extend this work to other sources of data; including data collected by the security industry; such as network traffic and log data; to develop better methods of anomaly detection and inference from event streams.  Finally; he is interested in privacy and security issues behind personal data; including data that is collected in eHealth and mHealth solutions; or IoT devices.  ; ,['N/A'],Professor David Aspinall 
david-atkinson,Mathematical physics; Neural networks; Computer vision; Deep learning; Reinforcement learning; Convex programming; Nonlinear programming; ,David Atkinson is a Reader in Magnetic Resonance Imaging (MRI) at University College London. He has a degree in Physics and a PhD in the field of semiconductors and optoelectronics. After a period as a scientific programmer in industry and a PostDoc at UCL; he moved to Guy's Hospital; London in 1996 to work on motion correction in MRI. In 2005 he returned to UCL as part of the newly formed Centre for Medical Image Computing within the UCL Departments of Medical Physics and Computer Science. Since 2011 he has been based in the UCL Division of Medicine within the Centre for Medical Imaging and also holds an Honorary NHS position at University College London Hospital. He facilitates clinical imaging; clinical research studies and has his own areas of active research.; Magnetic Resonance Imaging (MRI) can provide excellent visualisation of different types of soft tissue and uses no ionising radiation. Within MR scanners; pulse programming software controls the timing of RF pulses and magnetic field gradients used to generate MR signals. These signals are received over time and then reconstructed to form an image. Dr Atkinson's research has investigated new sequences and post-processing algorithms to infer clinically-relevant information about tissue properties. Research has included characterisation of tumours; placental and brain tissue; the removal of image artefacts; reduced distortions in prostate cancer imaging; and; the use of motion to characterise diseases of the gastro-intestinal tract. Motion at any time during an MR acquisition can result in blurring and ghosting across the reconstructed images. Convolutional Neural Networks can learn image features and the Turing Fellowship will be used to investigate the application of these networks for the removal of motion artefacts in MR images.; ,Magnetic Resonance Imaging (MRI) can provide excellent visualisation of different types of soft tissue and uses no ionising radiation. Within MR scanners; pulse programming software controls the timing of RF pulses and magnetic field gradients used to generate MR signals. These signals are received over time and then reconstructed to form an image. Dr Atkinson's research has investigated new sequences and post-processing algorithms to infer clinically-relevant information about tissue properties. Research has included characterisation of tumours; placental and brain tissue; the removal of image artefacts; reduced distortions in prostate cancer imaging; and; the use of motion to characterise diseases of the gastro-intestinal tract. Motion at any time during an MR acquisition can result in blurring and ghosting across the reconstructed images. Convolutional Neural Networks can learn image features and the Turing Fellowship will be used to investigate the application of these networks for the removal of motion artefacts in MR images.; ,['N/A'],Dr David Atkinson 
david-barber,['N/A'],David studied mathematics as an undergraduate (Cambridge) and the Statistical Mechanics of Neural Nets for my PhD (Edinburgh). He has worked in various institutions since then; joining the Department of Computer Science at UCL around 2006.  ; He is interested in developing methods to make progress in tackling fundamental challenges in Artificial Intelligence.  Particularly interesting areas for me are reasoning under uncertainty and how to represent knowledge. How can we best use large scale data and large scale computation to advance AI. What kinds of problems can we not currently solve and how could we try to solve them in the future?; ,He is interested in developing methods to make progress in tackling fundamental challenges in Artificial Intelligence.  Particularly interesting areas for me are reasoning under uncertainty and how to represent knowledge. How can we best use large scale data and large scale computation to advance AI. What kinds of problems can we not currently solve and how could we try to solve them in the future?; ,['N/A'],Dr David Barber 
david-beavan,Linguistics; Research methods; Social networks; Social media; Databases; Information retrieval; Visualisation (Computer systems & architectures); Natural language processing; ,David is Senior Research Software Engineer – Digital Humanities in the Research Engineering Group (affectionately known as Hut 23) in The Alan Turing Institute. He has been working in the Digital Humanities (DH) for over 15 years; working collaboratively; applying cutting edge computational methods to explore new humanities challenges. He is Co-Investigator for two Arts and Humanities Research Council (AHRC) funded projects: Living with Machines and Chronotopic Cartographies; is Co-organiser of the Humanities and Data Science Turing Interest Group; and is Research Engineering's challenge lead for Data Science for Science (and also humanities).; Prior to joining the Turing; David was Associate Director for Research at the UCL Centre for Digital Humanities (UCLDH) and Research Manager for the UCL Faculty of Arts & Humanities. He has worked on large-scale projects of international and national importance; such as the Scottish Corpus of Texts and Speech and its sibling projects; including the Corpus of Modern Scottish Writing; while at the university of Glasgow. David has served the Digital Humanities community as an elected member of the European Association for Digital Humanities (EADH) and has been a member of the Arts & Humanities Research Council (AHRC) Peer Review College.; ,['N/A'],['N/A'], David Beavan 
david-de-roure,Multi-agent systems; Artificial intelligence; Robotics; Multi-agent reasoning; Parallel computing; Human computer interface; Information retrieval; Real time computing; Applications (Machine learning); Social data science; Ethics; Research methods; Social media; Simulation; ,David De Roure is Professor of e-Research at University of Oxford; where he is jointly based in the Department of Engineering Science and the Humanities Division. He was previously Director of the Oxford e-Research Centre 2012-17.; David's research is distinctively interdisciplinary: his major recent grants are Fusing Audio and Semantic Technologies; The Theory and Practice of Social Machines; and Cyber Security of the Internet of Things. He is best known for his work on semantic web; scientific workflow systems; and digital musicology; and is a frequent speaker on the future of digital scholarship.; From 2009-13 David was the UK National Strategic Director for Digital Social Research for the Economic and Social Research Council; and subsequently a Strategic Advisor. He was closely involved in the UK e-Science programme and a founder of the UK Software Sustainability Institute.; Prior to moving to Oxford in 2010 David was Professor of Computer Science at University of Southampton; UK. He holds a PhD in Computer Science from Southampton. He is a Fellow of the British Computer Society and a Fellow of the Institute of Mathematics and its Applications. ;  ; David's interests are in Digital Humanities and collaborations with libraries; archives; and creative industries. He is part of the Data Science and Digital Humanities Interest Group.; His research activities are primarily focused on data science and music; including the use of AI in composition.; He is also interested in social data science; focusing on new and emerging forms of data and especially Internet of Things.; David has a longstanding interest in research infrastructure; including computational methods; automation; and software sustainability; and is interested in developing further work in computational archival science.; ,David's interests are in Digital Humanities and collaborations with libraries; archives; and creative industries. He is part of the Data Science and Digital Humanities Interest Group.; His research activities are primarily focused on data science and music; including the use of AI in composition.; He is also interested in social data science; focusing on new and emerging forms of data and especially Internet of Things.; David has a longstanding interest in research infrastructure; including computational methods; automation; and software sustainability; and is interested in developing further work in computational archival science.; ,['N/A'],Professor David De Roure 
david-firth,['N/A'],"Professor of Statistics at Warwick and Director of WDSI. Previously Professor of Social Statistics at Oxford. ESRC Professorial Fellow (2003-2006). Fellow of the British Academy (2008). RSS Guy Medals in Bronze (1998) and Silver (2012). John M Chambers Statistical Software Award; 2007. Editor of J Roy Stat Soc B (1998-2001). Publications include three RSS Read Papers and ten R packages.; He works on statistical theory; methods and computation; and applications in many disciplines; especially the social sciences. His research at the Turing will include:; General approaches to scalability of statistical models and associated software (with Ioannis Kosmidis); Scalable ""scoring"" in massive pair-comparison networks. Applications of this are in commerce; bibliometrics; sport; etc.; ""Sports analytics"" more generally (with Ioannis Kosmidis); ","He works on statistical theory; methods and computation; and applications in many disciplines; especially the social sciences. His research at the Turing will include:; General approaches to scalability of statistical models and associated software (with Ioannis Kosmidis); Scalable ""scoring"" in massive pair-comparison networks. Applications of this are in commerce; bibliometrics; sport; etc.; ""Sports analytics"" more generally (with Ioannis Kosmidis); ",['N/A'],Professor David Firth 
david-hogg,Neural networks; Pattern formation; Applications (Machine learning); Computer vision; Deep learning; Natural language processing; Pattern recognition; Semi-supervised learning; Unsupervised learning; Cognitive science; ,David Hogg is Professor of Artificial Intelligence at the University of Leeds. He has a BSc in Applied Mathematics from the University of Warwick; an MSc in Computer Science from the University of Western Ontario; and gained a PhD at the University of Sussex in 1984. His research is primarily on computer vision; particularly in the area of activity analysis. He works extensively across disciplinary boundaries; applying AI in engineering design; biology; and medicine.; He has been Pro-Vice-Chancellor for Research and Innovation at Leeds; visiting professor at the MIT Media Lab; chair of the EPSRC ICT Strategic Advisory Team; and chair of an international review panel on the EPSRC portfolio in Robotics and Autonomous Systems. Until 2018; he led iV&L Net; a major EU network on the integration of vision and language; and was chair of the Academic Advisory Group of the Worldwide Universities Network. He is a Turing Fellow; Fellow of the European Association for Artificial Intelligence (EurAI); a Distinguished Fellow of the British Machine Vision Association; and a Fellow of the International Association for Pattern Recognition.; David's research involves working closely with a number of domain specialists in applying machine learning and AI to a wide range of scientific and humanities problems with high potential for societal and economic impact. Existing collaborations include: (1) smart assistance in manufacturing design; simplifying and removing cost from product lifecycles; and (2) 3D motion analysis of worms; contributing to a holistic understanding of their biology; genetics; neural and physical mechanisms; with high potential impact on the design of soft robotics. There is high potential within these different problem areas for the application of recent methods using deep learning. The challenge is in selecting and applying methods in an appropriate fashion; contributing at the same time to our understanding of machine learning and AI.; ,David's research involves working closely with a number of domain specialists in applying machine learning and AI to a wide range of scientific and humanities problems with high potential for societal and economic impact. Existing collaborations include: (1) smart assistance in manufacturing design; simplifying and removing cost from product lifecycles; and (2) 3D motion analysis of worms; contributing to a holistic understanding of their biology; genetics; neural and physical mechanisms; with high potential impact on the design of soft robotics. There is high potential within these different problem areas for the application of recent methods using deep learning. The challenge is in selecting and applying methods in an appropriate fashion; contributing at the same time to our understanding of machine learning and AI.; ,['N/A'],Professor David Hogg 
david-leslie,Ethics; ,"David Leslie is the Ethics Theme Lead within the public policy programme. He was a 2017-2018 Mellon-Sawyer Fellow in Technology and the Humanities at Boston University; where he concentrated on the ethics and politics of emerging media and computationally based innovation as well as on issues of accountability; explainability; transparency; and stakeholder participation in the governance of machine learning research and innovation.; He has previously taught at Princeton’s University Center for Human Values (UCHV); where he also participated in the UCHV's 2017-2018 research collaboration with Princeton's Center for Information Technology Policy on ""Technology Ethics; Political Philosophy and Human Values: Ethical Dilemmas in AI Governance.""; Prior to teaching at Princeton; David held academic appointments at Yale’s programme in Ethics; Politics and Economics and at Harvard’s Committee on Degrees in Social Studies; where he received over a dozen teaching awards including the 2014 Stanley Hoffman Prize for Teaching Excellence. After receiving a Bachelor’s Degree from the University of Pennsylvania and an MPhil in Political Thought and Intellectual History from Cambridge University; he received his PhD from Yale.; David’s recent monograph; Understanding artificial intelligence ethics and safety: A guide for the responsible design and implementation of AI systems in the public sector; was published in June as part of an initiative led by the Office for Artificial Intelligence and the Government Digital Service. After receiving Ministerial approval; this work has since become the guiding ethical principles and protocols for the development and use of AI systems by all public sector agencies of the UK Government.; David’s recent and upcoming invited lectures; talks; and public appearances include:; David's current research focuses on digital ethics; algorithmic accountability; explainability; and the social and ethical impacts of machine learning and data-driven innovations. In his wider research; David studies the moral and ethical implications of emerging technologies. In particular; he is keen to question how the biospherically and geohistorically ramifying scope of contemporary scientific innovation (in areas ranging from AI and synthetic biology to nanotechnology and geoengineering) is putting pressure on the conventional action-orienting categories and norms by which humans; at present; regulate their behaviour.; ",David's current research focuses on digital ethics; algorithmic accountability; explainability; and the social and ethical impacts of machine learning and data-driven innovations. In his wider research; David studies the moral and ethical implications of emerging technologies. In particular; he is keen to question how the biospherically and geohistorically ramifying scope of contemporary scientific innovation (in areas ranging from AI and synthetic biology to nanotechnology and geoengineering) is putting pressure on the conventional action-orienting categories and norms by which humans; at present; regulate their behaviour.; ,['N/A'],Dr David Leslie 
david-llewellyn,Neural networks; Neuroscience; Deep learning; Pattern recognition; Cognitive science; Research methods; Uncertainty quantification; Causality; Monte Carlo methods; Simulation; Probability; ,Dr Llewellyn is a Senior Research Fellow in Clinical Epidemiology at the University of Exeter Medical School. He also holds an honorary contract with Devon Partnership NHS Trust. He moved to Exeter from the University of Cambridge in 2009 having received advanced training in epidemiology and data science. His his research aims to enhance the timely detection of dementia; with a focus on developing strategies for primary and secondary prevention using machine learning. He is an expert on the measurement of cognitive function; and he advises on cognitive measures as a member of the Scientific Advisory Board for the English Longitudinal Study of Ageing.; He also sits on Alzheimer's Research UK's Grant Review Board. In his research; he uses a combination of evidence synthesis; data science and machine learning to develop new translational insights that may lead to more effective interventions and an enhanced diagnostic pathway for dementia. He has developed a DEmentia identification COmputerized DEcision support system (DECODE) that is currently being trialed with patients in the NHS. Follow Dr Llewellyn on Twitter: @DrDJLlewellyn; Dr Llewellyn leads a programme of research on dementia prevention and diagnostics; and the development of new technology for personalised medicine. He will focus during his Turing Fellowship on how advanced machine learning methods can be used to develop new algorithms and clinical systems to enhance clinical decision making.; ,Dr Llewellyn leads a programme of research on dementia prevention and diagnostics; and the development of new technology for personalised medicine. He will focus during his Turing Fellowship on how advanced machine learning methods can be used to develop new algorithms and clinical systems to enhance clinical decision making.; ,['N/A'],Dr David Llewellyn 
david-lopez,Artificial intelligence; Machine learning; Applications (Machine learning); Deep learning; Natural language processing; Privacy & trust; Social data science; Data science of government & politics; Ethics; Management science; ,David Lopez is data scientist and scholar at the University of Exeter’s Business School and co-founder of the initiative in Digital Economy at Exeter (INDEX). He holds a PhD and MBA by UPM and IE Business School respectively. Prior to joining Exeter he led the data science unit at KPMG Madrid delivering solutions for large banks; fashion retailers and telecom. companies.; David has been involved in large scale data science related projects at Sky; Santander Bank; Banco Popular and Telefónica. He works with clients in the public and private sector including the Spanish Agency for organ donation and transplant; ZARA; CENTRICA and ZOETIS. He has published 1 book and numerous papers on open innovation; IPRights and business transformations induced by emerging technological paradigms.; David’s applied research is focused on the ethics of AI and its application to improve business processes and support fast strategic decision making. His current research projects involve the use of AI to improve learning outcomes in online education contexts. He also does research on the application of natural language processing techniques to better understand processes of entrepreneurship and innovation.;  ; ,David’s applied research is focused on the ethics of AI and its application to improve business processes and support fast strategic decision making. His current research projects involve the use of AI to improve learning outcomes in online education contexts. He also does research on the application of natural language processing techniques to better understand processes of entrepreneurship and innovation.;  ; ,['N/A'],Dr David Lopez 
david-plans,Multi-agent reasoning; Neuroscience; Deep learning; Social data science; Cognitive science; Social psychology; Uncertainty quantification; ,David Plans initially studied artificial intelligence and media; using evolutionary algorithms to investigate the nature of human improvisation. He helped build the first European merger for Open Source startups and worked within the UK’s National Health Service to deploy the first mobile application to let users self-report in chronic illness. He has given papers and talks at the European Conference on Artificial Life; IRCAM; the Darwin Symposium; and the Computer Arts Society in London.; His first PhD focused on genetic algorithms for classification of human musical behaviour in MPEG7 time series. He then led BioBeats as CEO; a startup that focuses on machine learning models of mental health and disorder. Through his work at BioBeats; he has retrained as a neuroscientist and experimental psychologist; and is now pursuing DPhil work at the University of Oxford's Social Cognition Lab. He is a member of the INDEX group and a Senior Lecturer in Organisational Neuroscience.; David's research interests include computational psychiatry models of stress and emotional resilience; and telemetric approaches to digital therapeutics for mental health. His work involves models through which we might understand the human body's response to stress from a psychobiology perspective; using data from body sensors and smartphone applications to build models that can predict mental disorder. He is particularly interested in models that involve interactions between one's sense of body signals (interoceptive awareness); capacity for empathy; cognitive vulnerabilities such as rumination; and how these interactions play out in individual and social frameworks such as workplaces.; ,David's research interests include computational psychiatry models of stress and emotional resilience; and telemetric approaches to digital therapeutics for mental health. His work involves models through which we might understand the human body's response to stress from a psychobiology perspective; using data from body sensors and smartphone applications to build models that can predict mental disorder. He is particularly interested in models that involve interactions between one's sense of body signals (interoceptive awareness); capacity for empathy; cognitive vulnerabilities such as rumination; and how these interactions play out in individual and social frameworks such as workplaces.; ,['N/A'],Dr David Plans MSc; PhD
david-pym,['N/A'],David Pym is Professor of Information; Logic; and Security at UCL and is The Alan Turing Institute’s University Liaison Director for UCL. He holds a PhD in logic and theoretical computer science from Edinburgh; and an MA and an ScD in mathematics from Cambridge. He is a Fellow of the IMA and the BCS. David spent many years with Hewlett-Packard’s Research Laboratories; where he developed interests in systems; security; and economics. He is Editor-in-Chief of OUP’s Journal of Cybersecurity. ; David works on a range of topics in logic; in security and privacy; and in distributed systems. At Turing; David has helped establish the Turing’s activity in ‘logical foundations of data science’; and is interested in the relationship been logical reasoning and machine learning. He is also interested in questions about access control in distributed systems; security and privacy policy; and the economics of security management. He is also interested in understanding basic questions in distributed systems architecture and behaviour; including the relationship between systems management policies and systems architecture. David addresses these issues using ideas and techniques from logic; theoretical computer science; and economics.; ,David works on a range of topics in logic; in security and privacy; and in distributed systems. At Turing; David has helped establish the Turing’s activity in ‘logical foundations of data science’; and is interested in the relationship been logical reasoning and machine learning. He is also interested in questions about access control in distributed systems; security and privacy policy; and the economics of security management. He is also interested in understanding basic questions in distributed systems architecture and behaviour; including the relationship between systems management policies and systems architecture. David addresses these issues using ideas and techniques from logic; theoretical computer science; and economics.; ,['N/A'],Professor David Pym 
